ctrl,m1,m2,sim_time,log_time
0,1684.372,0.544,666.76,2021-04-08 12:19:01
0,1740.965,0.706,667.26,2021-04-08 12:25:04
0,1466.221,0.373,667.83,2021-04-08 12:31:07
0,1494.182,0.163,668.36,2021-04-08 12:37:18
0,1779.106,0.178,668.93,2021-04-08 12:43:21
0,1723.433,0.663,669.47,2021-04-08 12:49:23
0,1423.78,0.352,670.06,2021-04-08 12:55:40
0,1460.423,0.284,670.6,2021-04-08 13:01:45
0,1524.493,0.151,671.17,2021-04-08 13:07:46
0,1530.288,0.875,671.74,2021-04-08 13:13:43
0,1715.781,0.869,672.31,2021-04-08 13:19:52
0,1517.026,0.162,672.93,2021-04-08 13:25:47
0,1605.209,0.298,673.49,2021-04-08 13:31:42
0,1687.553,3.512,674.03,2021-04-08 13:37:47
0,1580.152,0.285,674.62,2021-04-08 13:43:53
0,1717.236,0.153,675.22,2021-04-08 13:49:59
0,1751.366,0.21,675.82,2021-04-08 13:56:04
0,1539.106,0.17,676.41,2021-04-08 14:02:11
0,1581.692,0.089,677.01,2021-04-08 14:08:14
0,1591.667,0.207,677.59,2021-04-08 14:14:19
0,1486.81,0.277,678.16,2021-04-08 14:20:24
0,1502.89,0.046,678.75,2021-04-08 14:26:30
0,1689.415,0.052,679.35,2021-04-08 14:32:30
0,1694.422,0.075,679.93,2021-04-08 14:38:24
0,1594.693,0.03,680.53,2021-04-08 14:44:27
0,1669.187,0.062,681.15,2021-04-08 14:50:20
0,1426.827,0.32,681.71,2021-04-08 14:56:15
0,1720.812,0.065,682.28,2021-04-08 15:02:22
0,1551.734,0.777,682.81,2021-04-08 15:08:24
0,1547.388,1.835,683.42,2021-04-08 15:14:19
0,1672.948,0.37,683.98,2021-04-08 15:20:17
0,1539.575,0.232,684.6,2021-04-08 15:26:40
0,1520.2,0.412,685.2,2021-04-08 15:32:46
0,1558.183,0.313,685.79,2021-04-08 15:38:50
0,1557.944,0.285,686.33,2021-04-08 15:44:58
0,1627.716,0.327,686.86,2021-04-08 15:51:03
0,1836.215,0.513,687.47,2021-04-08 15:57:11
0,1517.124,0.299,688.07,2021-04-08 16:03:24
0,1635.969,0.61,688.64,2021-04-08 16:09:24
0,1725.353,0.523,689.15,2021-04-08 16:15:29
0,1679.949,0.203,689.75,2021-04-08 16:21:30
0,1619.958,0.546,690.29,2021-04-08 16:27:45
0,1483.189,0.1,690.88,2021-04-08 16:33:52
0,1528.427,0.163,691.48,2021-04-08 16:39:50
0,1669.236,0.07,692.08,2021-04-08 16:46:08
0,1530.131,0.227,692.68,2021-04-08 16:52:11
0,1588.057,0.078,693.29,2021-04-08 16:58:16
0,1719.452,0.095,693.91,2021-04-08 17:04:19
0,1790.549,0.093,694.52,2021-04-08 17:10:43
0,1681.861,1.237,695.06,2021-04-08 17:16:42
0,1689.676,0.316,695.64,2021-04-08 17:22:34
0,1628.972,0.231,696.2,2021-04-08 17:28:37
0,1936.457,0.228,696.77,2021-04-08 17:34:32
0,1721.641,1.004,697.36,2021-04-08 17:40:26
0,1450.051,0.895,697.93,2021-04-08 17:46:28
0,1619.398,0.531,698.49,2021-04-08 17:52:42
0,1468.203,1.605,699.06,2021-04-08 17:58:42
0,1735.834,0.287,699.66,2021-04-08 18:04:51
0,1772.422,2.398,700.12,2021-04-08 18:10:57
0,1562.199,0.872,700.7,2021-04-08 18:17:03
0,1574.572,0.409,701.32,2021-04-08 18:23:05
0,1672.599,1.488,701.93,2021-04-08 18:29:15
0,1383.621,3.945,702.51,2021-04-08 18:35:34
0,1365.284,0.354,703.12,2021-04-08 18:41:42
0,1640.199,0.257,703.72,2021-04-08 18:47:48
0,1658.689,0.636,704.27,2021-04-08 18:53:55
0,1597.572,0.641,704.85,2021-04-08 19:00:06
0,1804.264,0.556,705.44,2021-04-08 19:06:11
0,1537.859,0.281,705.94,2021-04-08 19:12:16
0,1434.424,0.559,706.5,2021-04-08 19:18:27
0,1499.817,0.568,707.08,2021-04-08 19:24:30
0,1738.036,0.483,707.68,2021-04-08 19:30:31
0,1695.257,0.155,708.25,2021-04-08 19:36:48
0,1581.19,2.234,708.73,2021-04-08 19:42:58
0,1460.289,0.753,709.27,2021-04-08 19:48:59
0,1492.102,0.317,709.84,2021-04-08 19:54:57
0,1728.892,0.177,710.4,2021-04-08 20:01:04
0,1558.793,0.504,710.99,2021-04-08 20:07:06
0,1553.986,0.032,711.58,2021-04-08 20:13:04
0,1702.616,0.041,712.14,2021-04-08 20:19:15
0,1508.697,0.123,712.69,2021-04-08 20:25:17
0,1424.792,0.084,713.27,2021-04-08 20:31:21
0,1650.415,0.621,713.85,2021-04-08 20:37:22
0,1500.011,1.072,714.4,2021-04-08 20:44:00
0,1429.613,0.379,714.98,2021-04-08 20:49:51
0,1767.095,0.155,715.56,2021-04-08 20:55:47
0,1473.376,1.549,716.06,2021-04-08 21:01:52
0,1782.34,0.143,716.62,2021-04-08 21:07:46
0,1554.197,0.662,717.18,2021-04-08 21:13:37
0,1529.481,2.115,717.76,2021-04-08 21:19:27
0,1576.846,0.954,718.28,2021-04-08 21:25:26
0,1725.139,4.287,718.84,2021-04-08 21:31:20
0,1639.455,1.358,719.39,2021-04-08 21:37:19
0,1691.948,0.302,719.97,2021-04-08 21:43:24
0,1401.545,0.194,720.55,2021-04-08 21:49:36
0,1627.077,0.842,721.11,2021-04-08 21:55:28
0,1626.493,1.081,721.67,2021-04-08 22:01:22
0,1684.12,1.409,722.19,2021-04-08 22:07:29
0,1903.329,1.414,722.76,2021-04-08 22:13:30
0,1633.886,0.799,723.35,2021-04-08 22:19:38
0,1651.343,0.54,723.92,2021-04-08 22:25:42
0,1804.589,0.252,724.53,2021-04-08 22:32:00
0,1397.569,4.417,725.08,2021-04-08 22:38:08
0,1681.009,0.22,725.66,2021-04-08 22:44:12
0,1610.303,0.231,726.23,2021-04-08 22:50:35
0,1536.207,0.058,726.84,2021-04-08 22:56:33
0,1499.217,0.276,727.36,2021-04-08 23:02:39
0,1486.023,0.488,727.92,2021-04-08 23:08:41
0,1696.212,0.688,728.55,2021-04-08 23:15:03
0,1651.982,0.575,729.11,2021-04-08 23:21:00
0,1580.173,0.752,729.68,2021-04-08 23:27:03
0,1440.855,0.419,730.17,2021-04-08 23:33:16
0,1721.846,0.113,730.78,2021-04-08 23:39:14
0,1688.269,0.68,731.38,2021-04-08 23:45:12
0,1522.89,0.153,731.96,2021-04-08 23:51:04
0,1557.116,0.089,732.54,2021-04-08 23:57:08
0,1664.968,0.35,733.09,2021-04-09 00:02:59
0,1641.568,0.185,733.67,2021-04-09 00:08:53
0,1425.297,2.109,734.22,2021-04-09 00:14:58
0,1886.495,0.27,734.82,2021-04-09 00:20:54
0,1365.673,2.123,735.37,2021-04-09 00:26:52
0,1887.4,0.22,735.94,2021-04-09 00:32:48
0,1510.38,1.064,736.45,2021-04-09 00:38:53
0,1713.84,0.523,737.01,2021-04-09 00:44:48
0,1634.248,2.394,737.56,2021-04-09 00:50:46
0,1539.752,0.616,738.15,2021-04-09 00:56:57
0,1992.58,0.176,738.81,2021-04-09 01:02:51
0,1606.29,0.875,739.36,2021-04-09 01:08:52
0,1978.508,0.267,739.97,2021-04-09 01:14:54
0,1581.264,1.707,740.52,2021-04-09 01:21:03
0,1582.24,0.644,741.1,2021-04-09 01:27:03
0,1629.208,2.164,741.65,2021-04-09 01:33:10
0,1621.555,0.163,742.22,2021-04-09 01:39:18
0,1604.9,0.062,742.84,2021-04-09 01:45:27
0,1597.021,0.201,743.39,2021-04-09 01:51:28
0,1523.119,0.035,744.02,2021-04-09 01:57:50
0,1586.526,0.076,744.65,2021-04-09 02:03:54
0,1790.352,0.015,745.36,2021-04-09 02:10:00
0,1658.643,0.103,745.98,2021-04-09 02:15:58
0,1662.977,0.016,746.64,2021-04-09 02:22:11
0,1435.305,0.27,747.2,2021-04-09 02:28:08
0,1721.559,0.054,747.82,2021-04-09 02:34:01
0,1828.452,0.452,748.39,2021-04-09 02:40:30
0,1493.412,0.52,748.95,2021-04-09 02:46:37
0,1642.419,0.336,749.55,2021-04-09 02:52:35
0,1616.186,1.07,750.04,2021-04-09 02:58:48
0,1491.925,0.263,750.66,2021-04-09 03:04:49
0,1673.661,1.29,751.21,2021-04-09 03:10:51
0,1800.972,2.422,751.75,2021-04-09 03:16:47
0,1475.288,2.814,752.25,2021-04-09 03:23:08
0,1990.27,6.931,752.83,2021-04-09 03:29:08
0,1623.591,0.677,753.43,2021-04-09 03:35:07
0,1757.125,0.336,754.01,2021-04-09 03:41:28
0,1597.407,0.159,754.61,2021-04-09 03:47:34
0,1529.832,0.128,755.19,2021-04-09 03:53:37
0,1709.194,0.126,755.81,2021-04-09 03:59:55
0,1664.172,0.909,756.37,2021-04-09 04:06:19
0,1391.151,0.268,756.88,2021-04-09 04:12:25
0,1755.26,0.09,757.45,2021-04-09 04:18:28
0,1753.423,0.53,757.97,2021-04-09 04:24:29
0,1491.098,1.09,758.52,2021-04-09 04:30:56
0,1528.859,0.222,759.11,2021-04-09 04:36:59
0,1623.636,0.129,759.74,2021-04-09 04:43:04
0,1579.128,0.069,760.4,2021-04-09 04:49:38
0,1649.548,0.085,761.04,2021-04-09 04:55:49
0,1615.893,0.089,761.59,2021-04-09 05:02:03
0,1423.578,0.052,762.21,2021-04-09 05:08:11
0,1597.961,0.145,762.83,2021-04-09 05:14:12
0,1604.961,1.305,763.38,2021-04-09 05:20:15
0,1561.537,1.387,763.93,2021-04-09 05:26:10
0,1780.132,0.688,764.49,2021-04-09 05:32:31
0,1549.001,0.432,765.08,2021-04-09 05:38:30
0,1639.818,0.45,765.65,2021-04-09 05:44:30
0,1653.842,0.616,766.21,2021-04-09 05:50:35
0,1674.308,1.194,766.78,2021-04-09 05:56:28
0,1791.458,1.0,767.32,2021-04-09 06:02:28
0,1581.509,0.641,767.9,2021-04-09 06:08:38
0,1626.728,0.281,768.49,2021-04-09 06:14:52
0,1602.23,0.509,769.09,2021-04-09 06:20:59
0,1660.249,0.609,769.66,2021-04-09 06:26:59
0,1580.398,0.309,770.25,2021-04-09 06:33:16
0,1482.088,0.101,770.86,2021-04-09 06:39:21
0,1630.374,0.108,771.48,2021-04-09 06:45:19
0,1814.97,0.347,772.1,2021-04-09 06:51:35
0,1701.675,0.237,772.71,2021-04-09 06:57:34
0,1640.504,0.151,773.34,2021-04-09 07:03:38
0,1757.623,0.051,773.96,2021-04-09 07:09:43
0,1458.418,0.486,774.52,2021-04-09 07:15:51
0,1453.742,0.178,775.11,2021-04-09 07:21:49
0,1385.782,1.381,775.66,2021-04-09 07:27:46
0,1418.422,0.618,776.23,2021-04-09 07:33:59
0,1584.931,1.801,776.82,2021-04-09 07:40:00
0,1531.136,1.255,777.4,2021-04-09 07:45:56
0,1678.828,0.509,777.95,2021-04-09 07:51:54
0,1670.931,3.023,778.49,2021-04-09 07:58:04
0,1630.556,0.629,779.05,2021-04-09 08:04:03
0,1651.097,0.184,779.65,2021-04-09 08:10:01
0,1419.95,0.256,780.24,2021-04-09 08:16:38
0,1593.758,0.307,780.84,2021-04-09 08:22:40
0,1669.869,1.254,781.41,2021-04-09 08:28:48
0,1412.168,1.047,781.97,2021-04-09 08:34:48
0,1773.338,0.131,782.6,2021-04-09 08:41:04
0,1482.805,0.53,783.16,2021-04-09 08:47:06
0,1485.063,0.136,783.76,2021-04-09 08:53:08
0,1739.634,0.086,784.37,2021-04-09 08:59:21
0,1741.743,0.192,784.98,2021-04-09 09:05:14
0,1417.211,0.654,785.54,2021-04-09 09:11:11
0,1562.321,0.103,786.17,2021-04-09 09:17:10
0,1487.249,0.113,786.78,2021-04-09 09:23:04
0,1644.248,0.563,787.33,2021-04-09 09:28:56
0,1867.244,0.267,787.92,2021-04-09 09:34:47
0,1632.424,0.371,788.49,2021-04-09 09:40:49
0,1480.782,0.268,789.1,2021-04-09 09:46:42
0,1574.32,5.765,789.64,2021-04-09 09:52:34
0,1724.745,0.569,790.21,2021-04-09 09:58:45
0,1678.992,0.806,790.78,2021-04-09 10:04:42
0,1466.798,2.415,791.32,2021-04-09 10:10:48
0,1905.313,0.407,791.94,2021-04-09 10:16:48
0,1418.761,0.282,792.57,2021-04-09 10:23:05
0,1585.493,1.062,793.16,2021-04-09 10:29:12
0,1714.801,0.422,793.73,2021-04-09 10:35:16
0,1546.891,2.19,794.3,2021-04-09 10:41:37
0,1733.362,0.179,794.86,2021-04-09 10:47:49
0,1649.659,0.257,795.44,2021-04-09 10:53:49
0,1562.528,0.156,795.97,2021-04-09 10:59:54
0,1484.631,0.885,796.53,2021-04-09 11:06:11
0,1656.964,0.571,797.11,2021-04-09 11:12:09
0,1655.506,0.488,797.65,2021-04-09 11:18:14
0,1701.88,0.205,798.22,2021-04-09 11:24:34
0,1522.672,0.645,798.79,2021-04-09 11:30:42
0,1768.899,0.176,799.38,2021-04-09 11:36:50
0,1774.54,0.494,799.99,2021-04-09 11:42:55
0,1688.238,0.295,800.59,2021-04-09 11:49:17
0,1747.08,0.109,801.22,2021-04-09 11:55:25
0,1598.1,0.073,801.86,2021-04-09 12:01:28
0,1628.689,0.029,802.47,2021-04-09 12:07:46
0,1611.85,0.344,803.03,2021-04-09 12:13:43
0,1588.51,0.036,803.6,2021-04-09 12:19:42
0,1709.975,0.246,804.18,2021-04-09 12:26:00
0,1625.804,0.153,804.76,2021-04-09 12:31:52
0,1611.581,0.433,805.4,2021-04-09 12:37:46
0,1524.261,2.172,805.97,2021-04-09 12:43:38
0,1765.251,0.506,806.52,2021-04-09 12:49:39
0,1721.875,2.062,807.06,2021-04-09 12:55:37
0,1645.984,1.346,807.63,2021-04-09 13:01:40
0,1471.776,2.429,808.19,2021-04-09 13:07:52
0,1516.121,0.456,808.78,2021-04-09 13:14:00
0,1571.817,0.421,809.41,2021-04-09 13:20:08
0,1364.877,5.616,809.94,2021-04-09 13:26:06
0,1632.376,0.61,810.55,2021-04-09 13:32:31
0,1599.045,4.529,811.06,2021-04-09 13:38:31
0,1627.09,0.567,811.62,2021-04-09 13:44:30
0,1706.794,1.05,812.24,2021-04-09 13:50:48
0,1492.283,0.872,812.83,2021-04-09 13:56:56
0,1784.292,0.204,813.41,2021-04-09 14:03:02
0,1746.332,0.135,814.02,2021-04-09 14:09:17
0,1679.97,0.259,814.6,2021-04-09 14:15:16
0,1813.464,0.189,815.22,2021-04-09 14:21:23
0,1542.535,0.541,815.72,2021-04-09 14:27:31
0,1724.375,0.091,816.31,2021-04-09 14:33:52
0,1643.435,0.906,816.84,2021-04-09 14:39:58
0,1606.02,0.21,817.44,2021-04-09 14:46:05
0,1483.76,0.236,818.02,2021-04-09 14:52:18
0,1834.79,0.132,818.59,2021-04-09 14:58:19
0,1664.038,0.386,819.16,2021-04-09 15:04:18
0,1699.243,0.175,819.71,2021-04-09 15:10:26
0,1601.903,0.799,820.29,2021-04-09 15:16:40
0,1651.105,0.627,820.82,2021-04-09 15:22:46
0,1700.811,0.603,821.32,2021-04-09 15:28:47
0,1494.073,0.678,821.86,2021-04-09 15:34:52
0,1598.458,0.09,822.42,2021-04-09 15:41:05
0,1785.736,0.934,822.94,2021-04-09 15:47:05
0,1568.987,0.335,823.53,2021-04-09 15:53:05
0,1526.036,1.076,824.06,2021-04-09 15:59:23
0,1448.42,0.195,824.59,2021-04-09 16:05:28
0,1749.249,0.886,825.17,2021-04-09 16:11:32
0,1712.668,0.688,825.72,2021-04-09 16:17:35
0,1567.999,0.164,826.32,2021-04-09 16:24:26
0,1614.573,0.457,826.88,2021-04-09 16:30:30
0,1685.42,0.165,827.45,2021-04-09 16:36:35
0,1537.743,0.562,827.94,2021-04-09 16:42:39
0,1845.275,0.321,828.5,2021-04-09 16:48:52
0,1617.552,0.571,829.06,2021-04-09 16:55:04
0,1557.031,1.068,829.63,2021-04-09 17:01:08
0,1682.384,0.257,830.22,2021-04-09 17:07:34
0,1591.901,0.319,830.81,2021-04-09 17:13:35
0,1762.348,0.202,831.37,2021-04-09 17:19:33
0,1622.708,0.106,831.93,2021-04-09 17:25:31
0,1702.293,0.333,832.48,2021-04-09 17:31:38
0,1537.226,0.171,833.04,2021-04-09 17:37:39
0,1495.031,0.156,833.62,2021-04-09 17:43:30
0,1499.812,0.098,834.18,2021-04-09 17:49:34
0,1540.623,1.59,834.77,2021-04-09 17:55:28
0,1541.534,0.734,835.3,2021-04-09 18:01:24
0,1645.452,0.14,835.9,2021-04-09 18:07:21
0,1499.605,0.176,836.52,2021-04-09 18:13:29
0,1687.946,0.146,837.09,2021-04-09 18:19:17
0,1521.51,1.85,837.61,2021-04-09 18:25:07
0,1633.786,0.199,838.18,2021-04-09 18:31:07
0,1572.071,0.609,838.78,2021-04-09 18:36:57
0,1504.318,2.826,839.34,2021-04-09 18:42:47
0,1662.724,0.495,839.92,2021-04-09 18:48:50
0,1333.945,1.443,840.46,2021-04-09 18:55:09
0,1666.883,0.697,841.05,2021-04-09 19:01:08
0,1585.527,0.793,841.58,2021-04-09 19:07:09
0,1665.372,0.357,842.17,2021-04-09 19:13:20
0,1498.643,0.26,842.77,2021-04-09 19:19:24
0,1658.105,0.339,843.31,2021-04-09 19:25:36
0,1873.618,0.424,843.82,2021-04-09 19:31:37
0,1480.201,0.154,844.37,2021-04-09 19:37:52
0,1868.379,0.438,844.95,2021-04-09 19:43:53
0,1581.177,0.447,845.57,2021-04-09 19:50:03
0,1486.634,1.027,846.14,2021-04-09 19:56:25
0,1774.499,0.686,846.66,2021-04-09 20:02:31
0,1694.968,0.35,847.27,2021-04-09 20:08:30
0,1420.905,0.18,847.85,2021-04-09 20:14:27
0,1656.601,2.131,848.4,2021-04-09 20:21:20
0,1568.678,2.03,848.98,2021-04-09 20:27:22
0,1692.946,1.055,849.57,2021-04-09 20:33:20
0,1716.552,1.306,850.14,2021-04-09 20:39:27
0,1645.85,0.829,850.7,2021-04-09 20:45:29
0,1374.545,1.657,851.28,2021-04-09 20:51:20
0,1705.669,3.484,851.84,2021-04-09 20:57:18
0,1693.787,0.987,852.39,2021-04-09 21:03:32
0,1579.143,0.273,852.99,2021-04-09 21:09:33
0,1619.395,0.193,853.54,2021-04-09 21:15:27
0,1508.487,0.295,854.11,2021-04-09 21:21:46
0,1418.195,2.569,854.66,2021-04-09 21:27:40
0,1590.795,0.936,855.22,2021-04-09 21:33:45
0,1536.222,0.149,855.85,2021-04-09 21:39:44
0,1593.255,0.265,856.42,2021-04-09 21:46:01
0,1619.152,0.035,857.06,2021-04-09 21:51:59
0,1582.156,0.294,857.64,2021-04-09 21:57:57
0,1556.986,0.098,858.25,2021-04-09 22:04:01
0,1647.983,0.073,858.88,2021-04-09 22:09:53
0,1616.726,0.538,859.48,2021-04-09 22:15:46
0,1390.735,1.878,860.0,2021-04-09 22:21:56
0,1529.507,1.496,860.56,2021-04-09 22:27:49
0,1875.115,1.122,861.12,2021-04-09 22:33:47
0,1674.254,0.964,861.66,2021-04-09 22:39:53
0,1514.023,0.834,862.24,2021-04-09 22:46:12
0,1631.482,1.327,862.8,2021-04-09 22:52:15
0,1547.215,1.038,863.36,2021-04-09 22:58:19
0,1635.74,1.143,863.96,2021-04-09 23:04:28
0,1707.7,0.43,864.54,2021-04-09 23:10:47
0,1685.037,0.673,865.11,2021-04-09 23:16:51
0,1755.626,0.497,865.65,2021-04-09 23:22:52
0,1622.171,0.469,866.23,2021-04-09 23:29:03
0,1594.943,1.048,866.76,2021-04-09 23:35:04
0,1657.252,0.355,867.34,2021-04-09 23:41:05
0,1599.134,1.875,867.91,2021-04-09 23:47:03
0,1466.295,0.24,868.49,2021-04-09 23:53:11
0,1556.503,0.801,869.07,2021-04-09 23:59:11
0,1859.146,0.666,869.63,2021-04-10 00:05:20
0,1818.269,0.662,870.21,2021-04-10 00:11:40
0,1360.464,0.763,870.79,2021-04-10 00:17:38
0,1520.766,0.21,871.37,2021-04-10 00:23:33
0,1478.99,0.356,871.92,2021-04-10 00:29:45
0,1566.633,0.279,872.51,2021-04-10 00:36:08
0,1794.758,0.172,873.13,2021-04-10 00:42:16
0,1495.13,0.088,873.8,2021-04-10 00:48:31
0,1652.417,0.291,874.43,2021-04-10 00:54:38
0,1696.537,0.071,875.06,2021-04-10 01:00:35
0,1466.368,0.049,875.72,2021-04-10 01:06:28
0,1747.926,0.142,876.33,2021-04-10 01:12:35
0,1546.943,0.511,876.92,2021-04-10 01:18:32
0,1555.522,2.268,877.48,2021-04-10 01:24:37
0,1890.95,4.484,878.01,2021-04-10 01:30:45
0,1588.026,1.481,878.55,2021-04-10 01:36:41
0,1563.889,0.477,879.15,2021-04-10 01:42:39
0,1721.962,1.168,879.68,2021-04-10 01:48:38
0,1583.51,5.492,880.17,2021-04-10 01:54:43
0,1592.658,5.754,880.72,2021-04-10 02:00:41
0,1574.798,1.44,881.25,2021-04-10 02:06:37
0,1578.196,0.225,881.84,2021-04-10 02:12:45
0,1544.345,0.918,882.4,2021-04-10 02:18:55
0,1879.335,0.164,882.98,2021-04-10 02:24:55
0,1576.372,0.405,883.56,2021-04-10 02:30:57
0,1573.273,0.801,884.13,2021-04-10 02:37:10
0,1587.837,0.217,884.72,2021-04-10 02:43:10
0,1761.336,0.472,885.24,2021-04-10 02:49:11
0,1581.786,0.811,885.8,2021-04-10 02:55:15
0,1374.346,0.195,886.38,2021-04-10 03:01:32
0,1629.667,0.201,887.01,2021-04-10 03:07:38
0,1718.975,1.284,887.57,2021-04-10 03:13:47
0,1506.166,0.201,888.17,2021-04-10 03:20:02
0,1356.533,0.46,888.75,2021-04-10 03:26:11
0,1533.416,0.181,889.33,2021-04-10 03:32:16
0,1619.572,0.617,889.88,2021-04-10 03:38:23
0,1567.19,0.238,890.47,2021-04-10 03:44:35
0,1640.595,0.05,891.06,2021-04-10 03:50:36
0,1477.741,0.074,891.63,2021-04-10 03:56:38
0,1511.75,0.489,892.26,2021-04-10 04:02:47
0,1420.191,0.15,892.9,2021-04-10 04:08:37
0,1551.643,0.18,893.54,2021-04-10 04:14:34
0,1661.308,0.036,894.19,2021-04-10 04:20:52
0,1478.468,0.151,894.84,2021-04-10 04:26:40
0,1440.243,0.104,895.44,2021-04-10 04:32:31
0,1445.784,0.402,896.05,2021-04-10 04:38:33
0,1572.262,0.178,896.62,2021-04-10 04:44:26
0,1707.654,0.289,897.2,2021-04-10 04:50:28
0,1494.587,2.032,897.76,2021-04-10 04:56:22
0,1574.109,0.266,898.39,2021-04-10 05:02:30
0,1548.034,0.517,898.95,2021-04-10 05:08:28
0,1532.546,0.168,899.54,2021-04-10 05:14:32
0,1787.289,2.885,900.08,2021-04-10 05:22:45
0,1807.992,0.305,900.67,2021-04-10 05:28:46
0,1768.208,0.388,901.26,2021-04-10 05:34:57
0,1577.666,0.219,901.87,2021-04-10 05:40:53
0,1693.17,0.157,902.46,2021-04-10 05:47:43
0,1885.84,0.264,903.06,2021-04-10 05:53:45
0,1570.069,0.995,903.67,2021-04-10 05:59:52
0,1598.314,0.046,904.29,2021-04-10 06:06:11
0,1547.907,0.014,904.98,2021-04-10 06:12:21
0,1494.426,0.149,905.63,2021-04-10 06:18:30
0,1741.685,0.061,906.24,2021-04-10 06:24:42
0,1478.645,0.034,906.9,2021-04-10 06:30:37
0,1825.188,1.028,907.48,2021-04-10 06:36:34
0,1383.796,0.632,908.05,2021-04-10 06:42:44
0,1620.739,0.234,908.63,2021-04-10 06:48:51
0,1816.667,0.705,909.18,2021-04-10 06:54:54
0,1743.438,0.258,909.78,2021-04-10 07:00:56
0,1523.844,0.897,910.3,2021-04-10 07:07:01
0,1399.628,1.225,910.85,2021-04-10 07:12:55
0,1615.118,1.296,911.39,2021-04-10 07:18:49
0,1657.881,0.552,911.93,2021-04-10 07:24:47
0,1531.117,1.991,912.49,2021-04-10 07:30:54
0,1400.589,0.728,913.09,2021-04-10 07:36:53
0,1478.56,2.284,913.65,2021-04-10 07:42:52
0,1987.358,0.42,914.17,2021-04-10 07:49:05
0,1756.474,0.738,914.76,2021-04-10 07:55:08
0,1691.811,0.127,915.36,2021-04-10 08:01:12
0,1522.133,0.343,915.93,2021-04-10 08:07:19
0,1591.766,0.316,916.54,2021-04-10 08:13:38
0,1700.976,0.372,917.12,2021-04-10 08:19:43
0,1516.932,0.602,917.68,2021-04-10 08:25:48
0,1484.073,0.089,918.28,2021-04-10 08:32:10
0,1605.472,0.768,918.86,2021-04-10 08:38:14
0,1762.467,0.629,919.38,2021-04-10 08:44:16
0,1511.567,0.564,919.92,2021-04-10 08:50:22
0,1693.102,0.334,920.47,2021-04-10 08:56:39
0,1537.78,0.389,921.03,2021-04-10 09:02:39
0,1598.753,0.139,921.65,2021-04-10 09:08:49
0,1903.923,0.091,922.25,2021-04-10 09:15:09
0,1618.934,0.039,922.89,2021-04-10 09:21:11
0,1488.173,0.053,923.48,2021-04-10 09:27:18
0,1567.063,0.025,924.07,2021-04-10 09:33:33
0,1470.953,0.099,924.7,2021-04-10 09:39:35
0,1641.496,0.056,925.34,2021-04-10 09:45:40
0,1387.598,1.1,925.87,2021-04-10 09:51:34
0,1743.119,2.059,926.44,2021-04-10 09:57:46
0,1455.849,1.431,926.96,2021-04-10 10:03:52
0,1668.036,0.455,927.53,2021-04-10 10:10:02
0,1821.129,2.349,928.09,2021-04-10 10:16:21
0,1657.731,1.316,928.65,2021-04-10 10:22:22
0,1666.193,0.694,929.18,2021-04-10 10:28:15
0,1472.148,0.427,929.76,2021-04-10 10:34:11
0,1766.721,0.275,930.35,2021-04-10 10:40:40
0,1460.666,0.527,930.91,2021-04-10 10:46:54
0,1473.428,0.497,931.46,2021-04-10 10:53:01
0,1754.191,1.137,932.11,2021-04-10 10:59:30
0,1795.27,0.263,932.67,2021-04-10 11:05:36
0,1955.839,0.328,933.24,2021-04-10 11:11:34
0,1531.864,0.378,933.86,2021-04-10 11:17:39
0,1607.336,0.308,934.4,2021-04-10 11:23:55
0,1515.594,0.232,934.99,2021-04-10 11:29:55
